Date,bt_Open,bt_High,bt_Low,bt_Close,bt_Volume,bt_Market Cap,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume,eth_Market Cap
27-Nov-19,7220.88,7619.69,6974.17,7531.66,23991412764,1.36103E+11,148.4,154.89,143.53,153.01,8778095308,16634910472
26-Nov-19,7145.16,7320.23,7098.57,7218.37,21129505542,1.30429E+11,146.4,150,145.22,148.97,7648516297,16193326033
25-Nov-19,7039.98,7319.86,6617.17,7146.13,42685231262,1.29113E+11,142.7,150.21,133.8,146.48,10962753356,15921080564
24-Nov-19,7398.63,7408.58,7029.29,7047.92,30433517289,1.27327E+11,153.43,153.97,142.83,142.83,7782769098,15523459920
23-Nov-19,7296.16,7442.26,7151.42,7397.8,21008924418,1.33636E+11,150.21,154.1,147.6,153.42,8289198330,16671705910
22-Nov-19,7643.57,7697.38,6936.71,7296.58,34242315785,1.31792E+11,161.51,163.03,142.34,150.27,12020749863,16327536038
21-Nov-19,8023.64,8110.1,7597.38,7642.75,22514243371,1.38032E+11,175.67,176.21,159.37,161.46,8546371325,17541867626
20-Nov-19,8203.61,8237.24,8010.51,8027.27,20764300437,1.44963E+11,177.42,178.99,175.29,175.7,7205785149,19086228092
19-Nov-19,8305.13,8408.52,8099.96,8206.15,21083613816,1.48178E+11,180.5,182.53,175.2,177.46,7536699743,19274876583
18-Nov-19,8573.98,8653.28,8273.57,8309.29,21579470673,1.50026E+11,185.04,186.93,179.18,180.56,7787662111,19609782345
17-Nov-19,8549.47,8727.79,8500.97,8577.98,18668638897,1.54862E+11,183.35,188.19,182.34,185.12,7364325471,20102654601
16-Nov-19,8491.17,8592,8473.97,8550.76,16495389808,1.54354E+11,180.5,184.16,179.99,183.35,6789888120,19908020821
15-Nov-19,8705.71,8730.87,8484.84,8491.99,21796856471,1.53277E+11,186.06,186.25,179.38,180.52,8815678477,19598770324
14-Nov-19,8811.94,8826.94,8692.55,8708.1,19084739975,1.57161E+11,188.27,188.63,184.99,186,7872664470,20191206220
13-Nov-19,8812.03,8836.84,8761.65,8808.26,17545755405,1.5895E+11,186.94,189.33,185.94,188.26,7343173596,20434064781
12-Nov-19,8759.75,8853.77,8685.43,8815.66,20309769107,1.59069E+11,185.56,187.95,184.19,186.84,7792186666,20278071676
11-Nov-19,9056.92,9081.28,8700.61,8757.79,20265510765,1.5801E+11,189.5,190.34,185.09,185.49,7877424106,20128792760
10-Nov-19,8812.49,9103.83,8806.16,9055.53,20587919881,1.63364E+11,184.94,190.92,184.69,189.48,8752784211,20559121065
9-Nov-19,8809.47,8891.82,8793.16,8813.58,17578630606,1.58981E+11,184.31,185.84,183.9,185.03,7277418704,20074095541
8-Nov-19,9265.37,9272.76,8775.53,8804.88,24333037836,1.58809E+11,187.92,188.82,182.54,184.21,9176780911,19983058356
7-Nov-19,9352.39,9368.48,9202.35,9267.56,22700383839,1.67139E+11,191.5,191.86,186.57,187.98,9081247799,20389037934
6-Nov-19,9340.86,9423.24,9305.91,9360.88,23133895765,1.68806E+11,189.11,193.55,188.67,191.59,10156458684,20778894603
5-Nov-19,9413,9457.42,9256.93,9342.53,26198609048,1.6846E+11,186.31,191.26,184.33,189.3,10024177342,20528094420
4-Nov-19,9235.61,9505.05,9191.49,9412.61,26170255634,1.69706E+11,182.32,188.02,181.82,186.36,10551917945,20205859402
3-Nov-19,9324.79,9379.81,9141.25,9235.35,21132220847,1.66495E+11,183.99,185.02,179.82,182.43,8760247744,19777347724
2-Nov-19,9259.78,9377.49,9249.59,9324.72,21242676385,1.6809E+11,184.02,185.71,182.8,183.93,8087991830,19937622287
1-Nov-19,9193.99,9275.66,9132.05,9261.1,24324691031,1.66928E+11,183.8,185.06,181.09,183.97,9145611130,19940014311
31-Oct-19,9202.46,9383.16,9028.72,9199.58,26583653947,1.65804E+11,184.8,188.75,180.07,183.97,9607939606,19937256794
30-Oct-19,9422.46,9426.87,9085.37,9205.73,27706531577,1.659E+11,190.34,191.11,181.55,184.69,10484902804,20013431227
29-Oct-19,9248.44,9516.18,9232.65,9427.69,28426779937,1.69884E+11,182.67,191.85,182.36,190.34,10622761958,20623205054
28-Oct-19,9565.1,9805.12,9256.15,9256.15,30948255332,1.66777E+11,184.4,187.88,180.25,182.66,10406734124,19788729316
27-Oct-19,9241.71,9749.53,9112.54,9551.71,32593129501,1.72087E+11,179.93,188.16,177.68,184.24,10815941952,19957408085
26-Oct-19,8667.58,10021.74,8662.62,9244.97,44496255609,1.66547E+11,181.67,195.94,176.13,179.84,13831784986,19477741705
25-Oct-19,7490.7,8691.54,7479.98,8660.7,28705065488,1.56007E+11,162.19,183,161.97,181.52,10358594018,19658140299
24-Oct-19,7509.73,7532.87,7446.99,7493.49,16268708849,1.34968E+11,162.51,164.15,160.89,162.17,7300917537,17560021218
23-Oct-19,8076.23,8093,7469.32,7514.67,21942878958,1.35337E+11,172.26,172.42,157.46,162.4,9624925919,17583244177
22-Oct-19,8243.4,8296.65,8074.46,8078.2,16803377857,1.4547E+11,174.91,175.65,172.27,172.3,6990951966,18652588580
21-Oct-19,8225.12,8296.69,8196.42,8243.72,15868748866,1.48433E+11,175.52,177.74,173.29,174.92,6815820627,18933882640
20-Oct-19,7997.81,8281.82,7949.44,8222.08,15504249442,1.48027E+11,172.97,176.72,171.21,175.53,6801091120,18997957789
19-Oct-19,7973.8,8082.63,7944.78,7988.56,13797825640,1.43808E+11,173.65,175.61,172.22,172.91,6551453871,18711940303
18-Oct-19,8100.93,8138.41,7902.16,7973.21,15651592610,1.43518E+11,177.99,178.18,171.01,173.62,7566257807,18786275035
17-Oct-19,8047.81,8134.83,8000.94,8103.91,14313052244,1.45854E+11,175.91,178.9,174.57,178.03,6737237423,19260755682
